ground,ground_V
Dambulla,1
Pallekele,2
Colombo (RPS),3
Chennai,4
Kolkata,5
Indore,6
Bengaluru,7
Nagpur,8
Mumbai,9
Pune,10
Kanpur,11
Dharamsala,12
Mohali,13
Visakhapatnam,14
Durban,15
Centurion,16
Cape Town,17
Johannesburg,18
Port Elizabeth,19
Nottingham,20
Lord's,21
Leeds,22
Delhi,23
Ranchi,24
Cuttack,25
Birmingham,26
The Oval,27
Port of Spain,28
North Sound,29
Kingston,30
Rajkot,31
Perth,32
Brisbane,33
Melbourne,34
Canberra,35
Sydney,36
Harare,37
Kochi,38
Ahmedabad,39
Hyderabad (Deccan),40
Adelaide,41
Hamilton,42
Auckland,43
Dhaka,44
Jaipur,45
Napier,46
Wellington,47
Fatullah,48
Cardiff,49
Chester-le-Street,50
Manchester,51
Benoni,52
Providence,53
Basseterre,54
Bridgetown,55
Sharjah,56
Dubai (DSC),57
Abu Dhabi,58
Hobart,59
Bristol,60
Southampton,61
Mount Maunganui,62
Dunedin,63
Christchurch,64
Edinburgh,65
Chittagong,66
Bloemfontein,67
Hambantota,68
Dublin (Malahide),69
Kimberley,70
Paarl,71
East London,72
Potchefstroom,73
Bulawayo,74
Colombo (SSC),75
Galle,76
Nelson,77
Dublin,78
Whangarei,79
Queenstown,80
St George's,81
Lahore,82
Belfast,83
ICCA Dubai,84
Kuala Lumpur,85
Mong Kok,86
Townsville,87
Greater Noida,88
Port Moresby,89
Lincoln,90
