ground,ground_V
Rangiri Dambulla International Stadium,1
Pallekele International Cricket Stadium (Muttiah Muralitharan International Cricket Stadium),2
Ranasinghe Premadasa Stadium (formerly Khetterama Stadium),3
M. A. Chidambaram Stadium (Chepauk),4
Eden Gardens,5
Nehru Stadium,6
M. Chinnaswamy Stadium (Chinnaswamy Stadium),7
"Vidarbha Cricket Association Ground (VCA, Nagpur)",8
Wankhede Stadium,9
Subrata Roy Sahara Stadium (Maharashtra Cricket Association Stadium),10
Modi Stadium (formerly Green Park/British India Corporation Ground),11
HPCA Stadium (Himachal Pradesh Cricket Association Stadium),12
Punjab Cricket Association Stadium (Mohali),13
Dr YS Rajasekhara Reddy Andhra CA-Visakhapatnam District CA Cricket Stadium (ACA-VDCA Stadium),14
"Sahara Stadium, Kingsmead (Kingsmead)",15
SuperSport Park (Centurion Park),16
Sahara Park Newlands (Newlands),17
New Wanderers Stadium (Wanderers),18
Axxess DSL St. Georges (St George's Park),19
Trent Bridge Ground (Trent Bridge),20
Lord's Cricket Ground (Lord's),21
Headingley Cricket Ground (Headingley),22
Jawaharlal Nehru Stadium,23
JSCA International Cricket Stadium (JSCA International Stadium Complex),24
Barabati Stadium,25
County Cricket Ground (Edgbaston),26
The Oval Cricket Ground (The Oval),27
Queen's Park Oval,28
Sir Vivian Richards Stadium,29
Sabina Park (Bina),30
Madhavrao Scindia Cricket Ground (formerly Racecourse/Corporation Ground/Municipal Stadium),31
Western Australian Cricket Association Ground (The WACA),32
Brisbane Cricket Ground (The Gabba),33
"Docklands Stadium (Etihad Stadium, formerly Colonial Stadium/Telstra Dome)",34
Manuka Oval,35
Sydney Cricket Ground (SCG),36
Harare Sports Club (formerly Salisbury Sports Club),37
Nehru Stadium,38
Sardar Vallabhbhai Patel Stadium,39
Niaz Stadium,40
Adelaide Oval,41
Seddon Park,42
Eden Park No. 1 (Eden Park),43
Bangabandhu National Stadium (Number 1 Dhaka Stadium),44
Sawai Mansingh Stadium,45
McLean Park,46
Westpac Stadium (formerly WestpacTrust Stadium),47
Fatullah Osmani Stadium,48
SWALEC Stadium (Sophia Gardens),49
County Ground (Riverside),50
Old Trafford Cricket Ground (Old Trafford),51
Willowmoore Park (Willowmoore Park Main Oval),52
Providence Stadium,53
Warner Park,54
Kensington Oval (The Mecca),55
Sharjah Cricket Stadium (Sharjah),56
Dubai International Cricket Stadium (Dubai Sports City Stadium),57
Sheikh Zayed Cricket Stadium,58
Tasmania Cricket Association Ground,59
County Ground (formerly Ashley Down/Fry's/Phoenix/Royal Sun & Alliance Ground),60
County Ground,61
Bay Oval,62
Carisbrook,63
Hagley Oval,64
Grange CC Ground,65
Chittagong Divisional Stadium (Zahur Ahmed Chowdhury Stadium),66
Goodyear Park (Springbok Park),67
Mahinda Rajapaksa International Stadium (Hambantota Cricket Stadium),68
Malahide (The Village),69
De Beers Diamond Oval (formerly Kimberley Country Club/De Beers Country Club),70
Boland Park (Boland Bank Park),71
Buffalo Park,72
North West Cricket Stadium (Senwes Park),73
Bulawayo Athletic Club,74
Sinhalese Sports Club Ground (SSC),75
Galle International Stadium,76
Saxton Oval,77
Castle Avenue (Clontarf CC Ground),78
Cobham Oval (New),79
Queenstown Events Centre (formerly Davies Park),80
Queen's Park (Old),81
Gaddafi Stadium (Lahore Stadium),82
Civil Service Cricket Club (Stormont),83
ICC Global Cricket Academy,84
Bayuemas Oval,85
Mission Road Ground,86
Tony Ireland Stadium,87
Greater Noida Sports Complex Ground,88
Amini Park,89
Bert Sutcliffe Oval,90
