WindSpeed,Temperature,Humidity,WindDirectionDegree,score.1,wickets,TeamName_V,Opposition_V,ground_V,result_V,toss_result_V,strategy_V,home_ground_V
17.375,17.25,45.125,125.625,256,7,8,7,74,0,0,1,2
12.875,23.25,75.75,267.875,350,7,3,1,10,0,0,1,2
12.75,17.25,78.375,307.625,134,5,6,14,77,0,0,0,2
14.25,11.625,81.25,287.875,183,7,10,8,83,1,0,0,2
17.125,28.625,83.625,280.125,155,6,7,5,76,0,0,1,2
14.5,23.25,47.5,93.125,180,5,10,8,56,1,0,0,2
20.375,14.875,76.875,254.75,324,7,3,5,49,1,0,1,2
26,26.25,37.25,99.625,245,9,8,7,74,1,0,1,2
29.5,14.375,81.25,264.125,236,6,5,15,49,0,0,1,2
4.375,30.875,81,189.25,236,6,9,8,85,0,0,1,2
20.375,14.875,76.875,254.75,211,6,3,15,49,0,0,1,2
12.5,13.375,84.125,256.5,250,6,8,10,83,1,0,1,2
14.125,24.25,74.125,234.375,163,6,5,4,18,0,0,1,2
17,16.5,69.875,143.125,69,2,1,2,36,2,0,1,2
32.625,25.875,74.375,93.125,236,1,4,2,55,2,0,1,2
21.125,18.125,86.375,35,195,6,5,14,63,0,0,0,2
11.875,19.25,86.375,135.75,265,5,10,8,83,1,0,1,2
23.75,17,69.125,108,309,3,4,7,74,1,0,1,2
14.5,27.75,81.375,106.125,300,9,5,3,21,1,0,1,2
10.375,17.875,66.625,139.5,308,8,1,2,33,0,1,0,2
22,29.25,39.5,98.25,330,7,5,6,74,1,0,1,2
8.125,23.625,53.875,316.125,170,6,7,16,44,0,0,1,2
15.375,17.5,56.375,166.625,146,6,1,4,15,0,1,0,2
9.625,15.625,64.875,152.75,196,6,3,2,41,0,0,1,2
10.875,14.375,83.375,269.125,237,4,10,8,83,1,0,0,2
10.625,18.625,36.25,279.875,223,9,8,7,74,0,0,1,2
12,31.875,21.125,65.25,268,7,10,7,37,0,0,1,2
27.875,10.75,76.625,71.875,126,6,10,3,60,0,1,0,2
15.75,14,74,237.375,277,9,2,3,26,0,0,1,2
6.25,28.875,62.75,64.125,215,6,7,16,44,0,0,0,2
25.625,-11.125,86.5,250.5,363,4,6,14,42,1,0,1,2
8.75,25.125,87.25,95.625,236,6,1,3,21,0,0,0,2
17,16.375,69.875,143.125,302,6,3,2,36,1,0,1,2
12.75,26.125,56,174.875,205,6,12,9,58,0,0,1,2
20.625,11,86,219.125,219,8,5,10,78,1,0,1,2
25.5,26.25,78.125,91.25,343,4,4,6,54,1,0,1,2
16.125,29.875,72.625,179.5,317,6,1,16,44,1,0,1,2
13,22.375,83,76.625,287,6,7,1,43,0,0,1,2
14.875,10.5,96.875,104.875,67,6,5,3,51,0,0,1,2
11.375,15.5,60.125,144.875,236,6,3,4,17,0,0,1,2
9.625,8.5,81.625,212.125,335,9,3,14,63,0,0,1,2
13.25,18.5,56.125,88.625,255,6,1,7,37,1,0,1,2
15.25,29.875,18.75,62.125,219,8,10,7,37,0,0,1,2
13.125,23.75,77,235.375,363,7,4,5,2,1,0,1,2
20.375,14.875,76.875,254.75,310,6,3,14,49,1,0,1,2
