,Name,Location,Country
1,Old Trafford Cricket Ground (Old Trafford),"Manchester, Greater Manchester",England
2,Lord's Cricket Ground (Lord's),"St. John's Wood, London",England
3,County Cricket Ground (Edgbaston),"Birmingham, West Midlands",England
4,Headingley Cricket Ground (Headingley),"Leeds, West Yorkshire",England
5,The Oval Cricket Ground (The Oval),"Kennington, London",England
6,Carisbrook,"Dunedin, Otago",New Zealand
7,Trent Bridge Ground (Trent Bridge),"Nottingham, Nottinghamshire",England
8,Adelaide Oval,"Adelaide, South Australia",Australia
9,Eden Park No. 1 (Eden Park),Auckland,New Zealand
10,Gaddafi Stadium (Lahore Stadium),"Lahore, Punjab",Pakistan
11,Sydney Cricket Ground (SCG),"Sydney, New South Wales",Australia
12,Brisbane Cricket Ground (The Gabba),"Brisbane, Queensland",Australia
13,Western Australian Cricket Association Ground (The WACA),"Perth, Western Australia",Australia
14,Seddon Park,"Hamilton, Waikato",New Zealand
15,Sardar Vallabhbhai Patel Stadium,"Ahmedabad, Gujarat",India
16,Barabati Stadium,"Cuttack, Odisha",India
17,Sinhalese Sports Club Ground (SSC),"Colombo, Western Province",Sri Lanka
18,Niaz Stadium,"Hyderabad, Sindh",Pakistan
19,M. Chinnaswamy Stadium (Chinnaswamy Stadium),"Bengaluru, Karnataka",India
20,Queen's Park Oval,"Port of Spain, Trinidad and Tobago
(West Indies)",West Indies
21,McLean Park,"Napier, Hawke's Bay",New Zealand
22,Queen's Park (Old),"St George's, Grenada
(West Indies)",West Indies
23,County Ground (formerly Ashley Down/Fry's/Phoenix/Royal Sun & Alliance Ground),"Bristol, County of Bristol",England
24,County Ground,"Southampton, Hampshire",England
25,Sawai Mansingh Stadium,"Jaipur, Rajasthan",India
26,Nehru Stadium,"Indore, Madhya Pradesh",India
27,Nehru Stadium,"Guwahati, Assam",India
28,Sharjah Cricket Stadium (Sharjah),"Sharjah, United Arab Emirates",United Arab Emirates
29,Sabina Park (Bina),"Kingston, Jamaica
(West Indies)",West Indies
30,Jawaharlal Nehru Stadium,"New Delhi, Delhi",India
31,Tasmania Cricket Association Ground,"Hobart, Tasmania",Australia
32,"Vidarbha Cricket Association Ground (VCA, Nagpur)","Nagpur, Maharashtra",India
33,Kensington Oval (The Mecca),"Bridgetown, Barbados
(West Indies)",West Indies
34,Ranasinghe Premadasa Stadium (formerly Khetterama Stadium),"Colombo, Western Province",Sri Lanka
35,Madhavrao Scindia Cricket Ground (formerly Racecourse/Corporation Ground/Municipal Stadium),"Rajkot, Saurashtra",India
36,Modi Stadium (formerly Green Park/British India Corporation Ground),"Kanpur, Uttar Pradesh",India
37,Wankhede Stadium,"Mumbai, Maharashtra",India
38,Eden Gardens,"Kolkata, West Bengal",India
39,M. A. Chidambaram Stadium (Chepauk),"Chennai, Tamil Nadu",India
40,Bangabandhu National Stadium (Number 1 Dhaka Stadium),"Dhaka, Dhaka Division",Bangladesh
41,Manuka Oval,"Canberra, Australian Capital Territory",Australia
42,Harare Sports Club (formerly Salisbury Sports Club),Harare,Zimbabwe
43,Bulawayo Athletic Club,Bulawayo,Zimbabwe
44,Sahara Park Newlands (Newlands),"Cape Town, Western Cape",South Africa
45,Axxess DSL St. Georges (St George's Park),"Port Elizabeth, Eastern Cape",South Africa
46,SuperSport Park (Centurion Park),"Centurion, Gauteng",South Africa
47,New Wanderers Stadium (Wanderers),"Johannesburg, Gauteng",South Africa
48,Goodyear Park (Springbok Park),"Bloemfontein, Free State",South Africa
49,"Sahara Stadium, Kingsmead (Kingsmead)","Durban, KwaZulu-Natal",South Africa
50,Buffalo Park,"East London, Eastern Cape",South Africa
51,Punjab Cricket Association Stadium (Mohali),"Mohali, Punjab",India
52,Boland Park (Boland Bank Park),"Paarl, Western Cape",South Africa
53,Willowmoore Park (Willowmoore Park Main Oval),"Benoni, Gauteng",South Africa
54,Nehru Stadium,"Kaloor, Kochi, Kerala",India
55,De Beers Diamond Oval (formerly Kimberley Country Club/De Beers Country Club),"Kimberley, Northern Cape",South Africa
56,County Ground,"Hove, East Sussex",England
57,SWALEC Stadium (Sophia Gardens),"Cardiff, South Glamorgan",Wales
58,County Ground (Riverside),"Chester-le-Street, County Durham",England
59,Castle Avenue (Clontarf CC Ground),"Dublin, Leinster",Ireland
60,Grange CC Ground,Edinburgh,Scotland
61,Galle International Stadium,"Galle, Southern Province",Sri Lanka
62,Westpac Stadium (formerly WestpacTrust Stadium),"Wellington, Wellington",New Zealand
63,"Docklands Stadium (Etihad Stadium, formerly Colonial Stadium/Telstra Dome)","Melbourne, Victoria",Australia
64,North West Cricket Stadium (Senwes Park),"Potchefstroom, North West",South Africa
65,Rangiri Dambulla International Stadium,"Dambulla, Central Province",Sri Lanka
66,Queenstown Events Centre (formerly Davies Park),"Queenstown, Otago",New Zealand
67,Dr YS Rajasekhara Reddy Andhra CA-Visakhapatnam District CA Cricket Stadium (ACA-VDCA Stadium),"Visakhapatnam, Andhra Pradesh",India
68,Chittagong Divisional Stadium (Zahur Ahmed Chowdhury Stadium),"Chittagong, Chittagong Division",Bangladesh
69,Fatullah Osmani Stadium,"Fatullah, Narayanganj District",Bangladesh
70,Sheikh Zayed Cricket Stadium,"Abu Dhabi, United Arab Emirates",United Arab Emirates
71,Warner Park,"Basseterre, Saint Kitts and Nevis (West Indies)",West Indies
72,Civil Service Cricket Club (Stormont),"Belfast, County Antrim",Northern Ireland
73,Sir Vivian Richards Stadium,"North Sound, Antigua and Barbuda
(West Indies)",West Indies
74,Providence Stadium,"Providence, Guyana
(West Indies)",West Indies
75,Dubai International Cricket Stadium (Dubai Sports City Stadium),"Dubai, United Arab Emirates",United Arab Emirates
76,Mahinda Rajapaksa International Stadium (Hambantota Cricket Stadium),"Hambantota, Southern Province",Sri Lanka
77,Pallekele International Cricket Stadium (Muttiah Muralitharan International Cricket Stadium),"Pallekele, Central Province",Sri Lanka
78,Cobham Oval (New),"Whangarei, Northland",New Zealand
79,JSCA International Cricket Stadium (JSCA International Stadium Complex),"Ranchi, Jharkhand",India
80,HPCA Stadium (Himachal Pradesh Cricket Association Stadium),"Dharamshala, Himachal Pradesh",India
81,ICC Global Cricket Academy,"Dubai, United Arab Emirates",United Arab Emirates
82,Malahide (The Village),"Dublin, Leinster",Ireland
83,Subrata Roy Sahara Stadium (Maharashtra Cricket Association Stadium),"Gahunje, Pune, Maharashtra",India
84,Saxton Oval,"Nelson, Nelson (Region)",New Zealand
85,Hagley Oval,"Christchurch, Canterbury",New Zealand
86,Bert Sutcliffe Oval,"Lincoln, Canterbury",New Zealand
87,Bay Oval,"Mount Maunganui, Bay of Plenty",New Zealand
88,Bayuemas Oval,"Pandamaran, Kuala Lumpur",Malaysia
89,Tony Ireland Stadium,"Townsville, Queensland",Australia
90,Mission Road Ground,"Mong Kok, Hong Kong",Hong Kong
91,Greater Noida Sports Complex Ground,"Greater Noida, Uttar Pradesh",India
92,Amini Park,"Port Moresby, Papua New Guinea",PNG
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
