"odi_id","date","oppositon","ground","innings","score","result","toss_result","strategy","match_timing","home_ground","total_batsmen","total_bowlers","total_allrounders","bat_bowl_avg.batting_avg","bat_bowl_avg.bowling_avg","TeamName"
"ODI # 3936","6 Dec 2017","P.N.G.","ICCA Dubai",1,"230/8","won","Lost","Bat","D/N","N/A",5,3,3,21.3,24.875,"Hong Kong"
"ODI # 3938","8 Dec 2017","P.N.G.","ICCA Dubai",1,"323/4","won","Lost","Bat","D/N","N/A",5,3,3,50.5,25,"Hong Kong"
"ODI # 3985","6 Mar 2018","Scotland","Bulawayo",1,"91","lost","Lost","Bat","D/N",NA,5,3,3,7.90909090909091,15.1666666666667,"Hong Kong"
"ODI # 3990","8 Mar 2018","Afghanistan","Bulawayo",1,"241/8","won","Lost","Bat","D/N",NA,5,3,3,21.7,27.8571428571429,"Hong Kong"
"ODI # 3994","10 Mar 2018","Zimbabwe","Bulawayo",2,"174","lost","Won","Field","D/N",NA,5,3,3,15.0909090909091,28.6666666666667,"Hong Kong"
"ODI # 4000","17 Mar 2018","P.N.G.","Harare",2,"142","lost","Lost","Field","D/N",NA,5,4,2,12.1818181818182,19.9,"Hong Kong"
"ODI # 3801","4 Nov 2016","P.N.G.","Mong Kok",1,"269","won","Won","Field","D/N","TRUE",5,3,3,22.4545454545455,17.8888888888889,"Hong Kong"
"ODI # 3802","6 Nov 2016","P.N.G.","Mong Kok",2,"187","lost","Lost","Field","D/N","TRUE",5,2,3,14.7272727272727,19.5,"Hong Kong"
"ODI # 3803","8 Nov 2016","P.N.G.","Mong Kok",2,"181/3","won","Lost","Field","D/N","TRUE",6,2,3,34,38.5,"Hong Kong"
"ODI # 3823","22 Jan 2017","Scotland","Abu Dhabi",2,"206/3","won","Won","Field","D/N","FALSE",4,4,2,38,22.2222222222222,"Hong Kong"
"ODI # 3827","26 Jan 2017","U.A.E.","Dubai (DSC)",1,"174","lost","Lost","Bat","D/N","N/A",4,4,2,15,43.25,"Hong Kong"
"ODI # 3709","16 Nov 2015","U.A.E.","ICCA Dubai",1,"298/4","won","Won","Field","D/N","N/A",5,2,4,40.1428571428571,20.6,"Hong Kong"
"ODI # 3711","18 Nov 2015","U.A.E.","ICCA Dubai",1,"282/8","won","Won","Field","D/N","N/A",5,2,4,26.8,14.4,"Hong Kong"
"ODI # 3729","26 Jan 2016","Scotland","Mong Kok",1,"259","won","Lost","Bat","D/N",NA,5,3,3,22,15,"Hong Kong"
"ODI # 3778","8 Sep 2016","Scotland","Edinburgh",2,"136/4","n/r","Won","Field","D/N",NA,5,3,3,20.3333333333333,25.5,"Hong Kong"
"ODI # 3541","8 Nov 2014","P.N.G.","Townsville",1,NA,"lost","Won","Field","D/N","FALSE",6,2,3,17.0909090909091,33.3333333333333,"Hong Kong"
"ODI # 3542","9 Nov 2014","P.N.G.","Townsville",1,NA,"lost","Won","Field","D/N","FALSE",6,2,3,21.7272727272727,43.1666666666667,"Hong Kong"
"ODI # 3487","1 May 2014","Afghanistan","Kuala Lumpur",1,NA,"lost","Lost","Bat","D/N","FALSE",5,3,3,18.4545454545455,71.6666666666667,"Hong Kong"
"ODI # 3489","4 May 2014","U.A.E.","Kuala Lumpur",1,NA,"lost","Lost","Bat","D/N","FALSE",5,3,3,13.1818181818182,19.75,"Hong Kong"
