"odi_id","date","oppositon","ground","innings","score","result","toss_result","strategy","match_timing","home_ground","total_batsmen","total_bowlers","total_allrounders","bat_bowl_avg.batting_avg","bat_bowl_avg.bowling_avg","TeamName"
"ODI # 3920","6 Oct 2017","Scotland","Port Moresby",2,"177","lost","Lost","Field","D/N","FALSE",6,4,1,14.6363636363636,39.5714285714286,"Papua New Guinea"
"ODI # 3921","8 Oct 2017","Scotland","Port Moresby",2,"204/5","won","Lost","Field","D/N","FALSE",6,4,1,28.1428571428571,25.375,"Papua New Guinea"
"ODI # 3933","24 Nov 2017","Scotland","Dubai (DSC)",1,"147","lost","Lost","Bat","D/N","N/A",6,4,1,12.3636363636364,36.25,"Papua New Guinea"
"ODI # 3934","25 Nov 2017","Scotland","Dubai (DSC)",1,"192/8","lost","Lost","Bat","D/N","N/A",6,4,1,17.2,32,"Papua New Guinea"
"ODI # 3936","6 Dec 2017","Hong Kong","ICCA Dubai",2,"207","lost","Won","Field","D/N","N/A",6,4,1,17.7272727272727,28.125,"Papua New Guinea"
"ODI # 3938","8 Dec 2017","Hong Kong","ICCA Dubai",2,"230","lost","Won","Field","D/N","N/A",6,4,1,19.8181818181818,104.666666666667,"Papua New Guinea"
"ODI # 3984","4 Mar 2018","U.A.E.","Harare",2,"113","lost","Won","Field","D/N","FALSE",5,3,3,9.81818181818182,31,"Papua New Guinea"
"ODI # 3986","6 Mar 2018","Ireland","Harare",1,"235","lost","Lost","Bat","D/N","FALSE",6,3,2,20.4545454545455,39.1666666666667,"Papua New Guinea"
"ODI # 3991","8 Mar 2018","West Indies","Harare",1,"200","lost","Won","Field","D/N","FALSE",6,3,2,16.6363636363636,65.3333333333333,"Papua New Guinea"
"ODI # 4000","17 Mar 2018","Hong Kong","Harare",1,"200","won","Won","Field","D/N","FALSE",4,4,3,17.7272727272727,15.3333333333333,"Papua New Guinea"
"ODI # 3801","4 Nov 2016","Hong Kong","Mong Kok",2,"163","lost","Lost","Field","D/N","FALSE",6,3,1,14.1818181818182,26.5,"Papua New Guinea"
"ODI # 3802","6 Nov 2016","Hong Kong","Mong Kok",1,"201","won","Won","Field","D/N","FALSE",6,3,1,16.9090909090909,18,"Papua New Guinea"
"ODI # 3803","8 Nov 2016","Hong Kong","Mong Kok",1,"244/7","lost","Won","Field","D/N","FALSE",6,3,1,24.5555555555556,58.6666666666667,"Papua New Guinea"
"ODI # 3857","31 Mar 2017","U.A.E.","Abu Dhabi",2,"210","lost","Won","Field","D/N","FALSE",6,4,1,18.0909090909091,58.4,"Papua New Guinea"
"ODI # 3859","2 Apr 2017","U.A.E.","Abu Dhabi",1,"232/8","won","Won","Field","D/N","FALSE",6,4,1,22.3,24.875,"Papua New Guinea"
"ODI # 3860","4 Apr 2017","U.A.E.","Abu Dhabi",2,"148","lost","Lost","Field","D/N","FALSE",7,3,1,12.1818181818182,30.875,"Papua New Guinea"
"ODI # 3541","8 Nov 2014","Hong Kong","Townsville",2,"203/6","won","Lost","Field","D/N","FALSE",6,2,2,23.625,19.6,"Papua New Guinea"
"ODI # 3542","9 Nov 2014","Hong Kong","Townsville",2,"264/7","won","Lost","Field","D/N","FALSE",6,2,2,27.6666666666667,28.5555555555556,"Papua New Guinea"
