"odi_id","date","oppositon","ground","innings","score","result","toss_result","strategy","match_timing","home_ground","total_batsmen","total_bowlers","total_allrounders","bat_bowl_avg.batting_avg","bat_bowl_avg.bowling_avg","TeamName"
"ODI # 3823","22 Jan 2017","Hong Kong","Abu Dhabi",1,"205","lost","Lost","Bat","D/N","FALSE",5,4,2,17.6363636363636,68.3333333333333,"Scotland"
"ODI # 3825","24 Jan 2017","U.A.E.","Dubai (DSC)",1,"173","lost","Won","Field","D/N","N/A",5,4,2,14.9090909090909,29,"Scotland"
"ODI # 3892","15 Jun 2017","Zimbabwe","Edinburgh",1,"317/6","won","Won","Field","D/N","TRUE",6,3,2,37.625,34,"Scotland"
"ODI # 3893","17 Jun 2017","Zimbabwe","Edinburgh",1,"169","lost","Won","Field","D/N","TRUE",6,2,3,14.7272727272727,41,"Scotland"
"ODI # 3729","26 Jan 2016","Hong Kong","Mong Kok",2,"150","lost","Won","Field","D/N","FALSE",6,3,2,13.0909090909091,28.4444444444444,"Scotland"
"ODI # 3759","4 Jul 2016","Afghanistan","Edinburgh",0,"DNB","n/r","Won","Field","D/N","TRUE",0,0,0,0,70.25,"Scotland"
"ODI # 3760","6 Jul 2016","Afghanistan","Edinburgh",2,"132","lost","Lost","Field","D/N","TRUE",5,4,2,11.6363636363636,28.3333333333333,"Scotland"
"ODI # 3765","14 Aug 2016","U.A.E.","Edinburgh",1,"327/5","won","Lost","Bat","D/N","TRUE",6,2,3,45.4285714285714,24.7777777777778,"Scotland"
"ODI # 3766","16 Aug 2016","U.A.E.","Edinburgh",2,"229/3","won","Lost","Field","D/N","TRUE",6,3,2,45.8,22.6,"Scotland"
"ODI # 3778","8 Sep 2016","Hong Kong","Edinburgh",1,"153/6","n/r","Lost","Bat","D/N","TRUE",6,4,1,18.75,42.6666666666667,"Scotland"
