"odi_id","date","oppositon","ground","innings","score","result","toss_result","strategy","match_timing","home_ground","total_batsmen","total_bowlers","total_allrounders","bat_bowl_avg.batting_avg","bat_bowl_avg.bowling_avg","TeamName"
"ODI # 3948","11 Jan 2018","Ireland","ICCA Dubai",1,"222/9","lost","Lost","Bat","D/N","N/A",0,0,0,0,37,"UAE"
"ODI # 3950","13 Jan 2018","Ireland","ICCA Dubai",2,"234","lost","Lost","Field","D/N","N/A",0,0,0,0,23.3,"UAE"
"ODI # 3961","21 Jan 2018","Scotland","ICCA Dubai",2,"218","lost","Lost","Bat","D/N","N/A",0,0,0,0,23.3333333333333,"UAE"
"ODI # 3963","23 Jan 2018","Scotland","ICCA Dubai",2,"300/6","won","Lost","Field","D/N","N/A",0,0,0,0,60,"UAE"
"ODI # 3984","4 Mar 2018","P.N.G.","Harare",1,"221","won","Lost","Bat","D/N",NA,0,0,0,0,12.4444444444444,"UAE"
"ODI # 3987","6 Mar 2018","West Indies","Harare",2,"297/6","lost","Lost","Field","D/N",NA,0,0,0,0,47.1666666666667,"UAE"
"ODI # 3995","12 Mar 2018","Ireland","Harare",2,"91","lost","Lost","Bat","D/N",NA,0,0,0,0,8.7,"UAE"
"ODI # 3998","15 Mar 2018","Scotland","Bulawayo",2,"249","lost","Lost","Field","D/N",NA,0,0,0,0,27,"UAE"
"ODI # 4003","20 Mar 2018","Afghanistan","Harare",1,"177","lost","Lost","Field","D/N",NA,0,0,0,0,34.8,"UAE"
"ODI # 4005","22 Mar 2018","Zimbabwe","Harare",1,"235/7","won","Lost","Bat","D/N",NA,0,0,0,0,31.1428571428571,"UAE"
"ODI # 4034","30 Aug 2018","Nepal","Kuala Lumpur",1,"254/9","won","Lost","Bat","D/N",NA,0,0,0,0,17.5,"UAE"
"ODI # 3825","24 Jan 2017","Scotland","Dubai (DSC)",2,"174/6","won","Lost","Field","D/N","N/A",0,0,0,0,29,"UAE"
"ODI # 3827","26 Jan 2017","Hong Kong","Dubai (DSC)",2,"175/4","won","Lost","Bat","D/N","N/A",0,0,0,0,43.25,"UAE"
"ODI # 3844","2 Mar 2017","Ireland","ICCA Dubai",2,"185","lost","Lost","Bat","D/N","N/A",0,0,0,0,20.4444444444444,"UAE"
"ODI # 3847","4 Mar 2017","Ireland","ICCA Dubai",1,"202","lost","Lost","Field","D/N","N/A",0,0,0,0,99.5,"UAE"
"ODI # 3857","31 Mar 2017","P.N.G.","Abu Dhabi",1,"292/5","won","Lost","Bat","D/N",NA,0,0,0,0,20.1,"UAE"
"ODI # 3859","2 Apr 2017","P.N.G.","Abu Dhabi",2,"206","lost","Lost","Field","D/N",NA,0,0,0,0,24.875,"UAE"
"ODI # 3860","4 Apr 2017","P.N.G.","Abu Dhabi",1,"251/9","won","Lost","Field","D/N",NA,0,0,0,0,15.8888888888889,"UAE"
"ODI # 3709","16 Nov 2015","Hong Kong","ICCA Dubai",2,NA,"lost","Lost","Field","D/N","N/A",0,0,0,0,20.6,"UAE"
"ODI # 3711","18 Nov 2015","Hong Kong","ICCA Dubai",2,NA,"lost","Lost","Field","D/N","N/A",0,0,0,0,14.4,"UAE"
"ODI # 3765","14 Aug 2016","Scotland","Edinburgh",2,NA,"lost","Lost","Bat","D/N",NA,0,0,0,0,24.7777777777778,"UAE"
"ODI # 3766","16 Aug 2016","Scotland","Edinburgh",1,NA,"lost","Lost","Field","D/N",NA,0,0,0,0,76.3333333333333,"UAE"
"ODI # 3556","28 Nov 2014","Afghanistan","ICCA Dubai",2,"249/5","won","Lost","Field","D/N","N/A",0,0,0,0,60.75,"UAE"
"ODI # 3558","30 Nov 2014","Afghanistan","ICCA Dubai",2,"282/4","won","Lost","Bat","D/N","N/A",0,0,0,0,69.75,"UAE"
"ODI # 3560","2 Dec 2014","Afghanistan","ICCA Dubai",1,"273/5","lost","Lost","Bat","D/N","N/A",0,0,0,0,38.2857142857143,"UAE"
"ODI # 3562","4 Dec 2014","Afghanistan","ICCA Dubai",1,"258/9","won","Lost","Bat","D/N","N/A",0,0,0,0,22.7,"UAE"
"ODI # 3606","19 Feb 2015","Zimbabwe","Nelson",1,"285/7","lost","Lost","Bat","D/N",NA,0,0,0,0,46.6666666666667,"UAE"
"ODI # 3613","25 Feb 2015","Ireland","Brisbane",1,"278/9","lost","Lost","Bat","D/N",NA,0,0,0,0,34,"UAE"
"ODI # 3618","28 Feb 2015","India","Perth",1,"102","lost","Lost","Field","D/N",NA,0,0,0,0,104,"UAE"
"ODI # 3622","4 Mar 2015","Pakistan","Napier",2,"210/8","lost","Lost","Bat","D/N",NA,0,0,0,0,26.125,"UAE"
"ODI # 3633","12 Mar 2015","South Africa","Wellington",2,"195","lost","Lost","Bat","D/N",NA,0,0,0,0,19.4444444444444,"UAE"
"ODI # 3638","15 Mar 2015","West Indies","Napier",1,"175","lost","Lost","Bat","D/N",NA,0,0,0,0,43,"UAE"
"ODI # 3468","1 Feb 2014","Scotland","Lincoln",2,"244/9","lost","Lost","Field","D/N",NA,0,0,0,0,26.8888888888889,"UAE"
"ODI # 3488","2 May 2014","Afghanistan","Kuala Lumpur",2,"232","lost","Lost","Bat","D/N",NA,0,0,0,0,21.9,"UAE"
"ODI # 3489","4 May 2014","Hong Kong","Kuala Lumpur",2,"158/8","won","Lost","Bat","D/N",NA,0,0,0,0,19.75,"UAE"
